BDTHAIFOOD,20260427,100000,19.30,18019
DAFODILCOM,20260427,100000,112.20,3402
DOMINAGE,20260427,100000,62.90,129358
DSHGARME,20260427,100000,125.00,42
JANATAINS,20260427,100000,35.60,200
PTL,20260427,100000,64.00,11
SALVO,20260427,100000,33.10,34050
SAMATALETH,20260427,100000,108.90,52
SAMORITA,20260427,100000,72.90,2300
SINOBANGLA,20260427,100000,54.70,15615
AGNISYSL,20260427,100000,25.50,42407
AIL,20260427,100000,28.10,1025
ANWARGALV,20260427,100000,99.60,2550
APEXFOOT,20260427,100000,210.50,406
APEXTANRY,20260427,100000,96.90,26766
BATBC,20260427,100000,222.00,1003
CAPITECGBF,20260427,100000,7.60,502
DSSL,20260427,100000,9.60,2000
INTRACO,20260427,100000,17.40,650
NCCBANK,20260427,100000,14.40,176213
NTC,20260427,100000,155.00,1
NURANI,20260427,100000,3.00,40
PHENIXINS,20260427,100000,40.50,3
PRIMEFIN,20260427,100000,3.80,30000
PURABIGEN,20260427,100000,27.70,7420
SANDHANINS,20260427,100000,23.50,94805
SEAPEARL,20260427,100000,35.70,853
STANCERAM,20260427,100000,70.10,1
STANDBANKL,20260427,100000,5.10,102
TILIL,20260427,100000,48.00,302
TRUSTBANK,20260427,100000,18.00,510
UNITEDFIN,20260427,100000,13.10,1
ZEALBANGLA,20260427,100000,136.00,20
BENGALWTL,20260427,100000,25.90,27000
BRACBANK,20260427,100000,74.50,53005
ENVOYTEX,20260427,100000,49.00,8912
EPGL,20260427,100000,16.70,1860
ETL,20260427,100000,11.30,55000
FUWANGCER,20260427,100000,13.00,3000
GOLDENSON,20260427,100000,15.20,122490
IPDC,20260427,100000,18.70,50
JAMUNABANK,20260427,100000,24.10,12000
KEYACOSMET,20260427,100000,4.90,7230
LOVELLO,20260427,100000,86.20,88030
MIDLANDBNK,20260427,100000,16.50,25055
OLYMPIC,20260427,100000,146.00,1030
PEOPLESINS,20260427,100000,55.00,21091
PRAGATILIF,20260427,100000,210.00,4649
RELIANCE1,20260427,100000,11.40,10000
RINGSHINE,20260427,100000,3.70,11377
RUNNERAUTO,20260427,100000,40.80,56
SAFKOSPINN,20260427,100000,21.70,152249
SHEPHERD,20260427,100000,14.90,90401
SPCL,20260427,100000,53.50,38775
WATACHEM,20260427,100000,149.70,65
IFADAUTOS,20260427,100000,22.90,92017
JMISMDL,20260427,100000,138.60,2517
SIMTEX,20260427,100000,24.70,10100
BBSCABLES,20260427,100000,20.40,500
KBPPWBIL,20260427,100000,48.90,6000
RUPALIINS,20260427,100000,25.40,26000
APEXFOODS,20260427,100000,282.10,1562
DBH1STMF,20260427,100000,4.60,120
ORIONINFU,20260427,100000,317.60,1
PRIMEINSUR,20260427,100000,36.30,99
KAY&QUE,20260427,100000,494.50,2053
LHB,20260427,100000,49.70,7
SBACBANK,20260427,100000,6.90,63
1JANATAMF,20260427,100000,3.00,7
ABBANK,20260427,100000,5.70,5
BDLAMPS,20260427,100000,202.00,1
HFL,20260427,100000,15.80,2
MEGHNAINS,20260427,100000,30.00,16000
PARAMOUNT,20260427,100000,52.50,500
UCB,20260427,100000,8.90,500
VFSTDL,20260427,100000,12.00,33
ALLTEX,20260427,100000,15.50,5
BDTHAI,20260427,100000,12.70,2500
LEGACYFOOT,20260427,100000,82.50,700
PRIMELIFE,20260427,100000,37.00,2000
ACFL,20260427,100000,18.90,2000
HAKKANIPUL,20260427,100000,79.00,300
ISLAMIBANK,20260427,100000,36.00,1380
RUPALILIFE,20260427,100000,89.70,5225
MHSML,20260427,100000,19.00,9650
BNICL,20260427,100000,84.00,10100
ICBEPMF1S1,20260427,100000,5.80,12000
BDWELDING,20260427,100000,15.00,1
SUNLIFEINS,20260427,100000,75.00,1
BDFINANCE,20260427,100000,12.10,9910
QUASEMIND,20260427,100000,41.00,2000
SAPORTL,20260427,100000,51.70,13302
SINGERBD,20260427,100000,87.20,10
UTTARABANK,20260427,100000,25.40,11000
1STPRIMFMF,20260427,100000,20.30,6394
ANLIMAYARN,20260427,100000,20.60,800
ASIATICLAB,20260427,100000,105.70,2403
DOREENPWR,20260427,100000,28.60,10
GLOBALINS,20260427,100000,34.80,6000
SAIHAMCOT,20260427,100000,21.70,24600
BBS,20260427,100000,12.00,3450
GLDNJMF,20260427,100000,6.40,8911
INTECH,20260427,100000,37.20,5500
CITYBANK,20260427,100000,33.70,36610
YPL,20260427,100000,19.90,1003
AAMRANET,20260427,100000,16.90,760
APEXSPINN,20260427,100000,359.40,1409
EIL,20260427,100000,29.20,9000
RDFOOD,20260427,100000,20.80,57
RUPALIBANK,20260427,100000,18.80,9500
SLIPLC,20260427,100000,68.00,61
SONARBAINS,20260427,100000,35.20,26600
BSCPLC,20260427,100000,146.30,1000
SOUTHEASTB,20260427,100000,10.30,154503
BDAUTOCA,20260427,100000,230.00,618
NAHEEACP,20260427,100000,24.10,5000
AZIZPIPES,20260427,100000,58.90,3500
SHYAMPSUG,20260427,100000,158.80,1
SQURPHARMA,20260427,100000,212.70,10
INDEXAGRO,20260427,100000,70.70,1
ACMEPL,20260427,100000,25.40,1981
LRGLOBMF1,20260427,100000,3.40,1
SILCOPHL,20260427,100000,14.30,10
EASTLAND,20260427,100000,23.40,7000
EASTERNINS,20260427,100000,59.00,50
ITC,20260427,100000,39.60,5
UPGDCL,20260427,100000,119.00,10
EBL,20260427,100000,28.30,4
PF1STMF,20260427,100000,7.80,90001
CRYSTALINS,20260427,100000,84.80,100
DHAKABANK,20260427,100000,12.10,200
FEDERALINS,20260427,100000,22.90,3200
GEMINISEA,20260427,100000,120.30,126
AGRANINS,20260427,100000,23.60,11
AL-HAJTEX,20260427,100000,111.90,1000
BANGAS,20260427,100000,142.70,800
MIRAKHTER,20260427,100000,36.20,11
QUEENSOUTH,20260427,100000,11.90,1
TECHNODRUG,20260427,100000,36.10,12
PENINSULA,20260427,100000,21.60,500
SONALIANSH,20260427,100000,166.00,1
BPPL,20260427,100000,15.30,1100
