CAPMBDBLMF,20260426,100000,12.40,265500
LEGACYFOOT,20260426,100000,83.30,14700
PTL,20260426,100000,63.80,9015
ANWARGALV,20260426,100000,102.50,18873
APEXSPINN,20260426,100000,350.00,6205
BXPHARMA,20260426,100000,117.80,1
CITYBANK,20260426,100000,32.90,15901
CLICL,20260426,100000,59.50,2000
EASTLAND,20260426,100000,23.30,36358
ETL,20260426,100000,11.40,118400
FUWANGCER,20260426,100000,12.90,1630
GSPFINANCE,20260426,100000,4.40,5000
ITC,20260426,100000,39.30,1501
KBPPWBIL,20260426,100000,48.80,65162
KPCL,20260426,100000,11.20,5201
LRBDL,20260426,100000,10.60,11
MEGHNAINS,20260426,100000,30.40,4
NAVANAPHAR,20260426,100000,60.70,6
PEOPLESINS,20260426,100000,57.50,183730
PROVATIINS,20260426,100000,36.30,27200
PURABIGEN,20260426,100000,27.90,454388
RELIANCE1,20260426,100000,11.70,1000
ROBI,20260426,100000,28.80,51211
SAMORITA,20260426,100000,71.60,17320
SINOBANGLA,20260426,100000,54.40,62441
SQURPHARMA,20260426,100000,212.00,101
UNITEDINS,20260426,100000,48.70,33
WATACHEM,20260426,100000,150.80,51
1STPRIMFMF,20260426,100000,19.30,101
ACMEPL,20260426,100000,25.00,55401
AGNISYSL,20260426,100000,26.40,6789
APOLOISPAT,20260426,100000,3.60,10000
BANGAS,20260426,100000,151.80,680
BNICL,20260426,100000,82.00,11610
BSCPLC,20260426,100000,146.00,4874
BSRMSTEEL,20260426,100000,72.00,263
CAPITECGBF,20260426,100000,7.40,491758
DOMINAGE,20260426,100000,61.00,312524
DSHGARME,20260426,100000,129.20,1027
EBLNRBMF,20260426,100000,3.10,100
EHL,20260426,100000,82.00,1831
EPGL,20260426,100000,15.90,20250
FORTUNE,20260426,100000,14.20,140
ISNLTD,20260426,100000,78.40,874
KAY&QUE,20260426,100000,505.00,2205
LOVELLO,20260426,100000,85.80,12295
MHSML,20260426,100000,18.30,93100
MONNOCERA,20260426,100000,87.60,12434
MONOSPOOL,20260426,100000,102.50,2000
NAHEEACP,20260426,100000,25.50,62483
NCCBANK,20260426,100000,13.60,10200
ONEBANKPLC,20260426,100000,7.10,4000
POWERGRID,20260426,100000,33.10,80
PRIMEFIN,20260426,100000,3.70,29000
RAHIMTEXT,20260426,100000,206.00,313
RUPALIINS,20260426,100000,24.60,3000
SAMATALETH,20260426,100000,108.00,6500
SANDHANINS,20260426,100000,20.70,1500
SONARBAINS,20260426,100000,31.70,12500
TILIL,20260426,100000,47.40,1053
TRUSTB1MF,20260426,100000,3.10,3010
1JANATAMF,20260426,100000,3.00,3000
AIBL1STIMF,20260426,100000,4.00,200
BDCOM,20260426,100000,29.30,4812
DHAKABANK,20260426,100000,12.00,21500
DUTCHBANGL,20260426,100000,40.80,5
IFIC,20260426,100000,5.10,5000
JAMUNABANK,20260426,100000,23.40,900
PHARMAID,20260426,100000,574.10,806
SLIPLC,20260426,100000,66.40,5918
BDLAMPS,20260426,100000,204.40,3
BRACBANK,20260426,100000,73.80,1100
HEIDELBCEM,20260426,100000,215.00,40
SUNLIFEINS,20260426,100000,75.00,43507
BBSCABLES,20260426,100000,20.90,2000
DELTASPINN,20260426,100000,6.30,5000
GP,20260426,100000,245.20,10
KDSALTD,20260426,100000,46.40,1001
SOUTHEASTB,20260426,100000,9.50,63000
ALLTEX,20260426,100000,15.20,5599
RDFOOD,20260426,100000,20.70,7
EBL1STMF,20260426,100000,3.80,9347
SILCOPHL,20260426,100000,14.20,19
SAFKOSPINN,20260426,100000,19.00,36197
ZAHINTEX,20260426,100000,7.20,2152
LHB,20260426,100000,50.00,11000
MIRAKHTER,20260426,100000,36.20,7901
SPCL,20260426,100000,52.00,2500
BATBC,20260426,100000,218.90,150
JHRML,20260426,100000,45.50,52
JMISMDL,20260426,100000,143.40,17372
MEGHNAPET,20260426,100000,40.00,3502
ORIONINFU,20260426,100000,324.40,21
RINGSHINE,20260426,100000,3.90,30024
TAMIJTEX,20260426,100000,128.00,1103
SAIHAMCOT,20260426,100000,22.00,20011
NRBCBANK,20260426,100000,7.10,1
PF1STMF,20260426,100000,7.20,50205
PHENIXINS,20260426,100000,42.50,10010
APEXTANRY,20260426,100000,92.30,22205
DSSL,20260426,100000,9.70,5000
GLOBALINS,20260426,100000,32.90,6371
SALVO,20260426,100000,31.90,2100
RANFOUNDRY,20260426,100000,155.40,1
EMERALDOIL,20260426,100000,14.80,1000
BBS,20260426,100000,12.00,5000
BENGALWTL,20260426,100000,24.40,1000
BSC,20260426,100000,104.50,3604
CENTRALINS,20260426,100000,42.80,3663
GOLDENSON,20260426,100000,14.10,29600
GQBALLPEN,20260426,100000,597.10,38
INTECH,20260426,100000,37.80,2650
ABB1STMF,20260426,100000,3.20,468920
CVOPRL,20260426,100000,164.40,10551
APEXFOODS,20260426,100000,287.00,2307
FAMILYTEX,20260426,100000,3.10,37793
MEGCONMILK,20260426,100000,37.90,2650
SIPLC,20260426,100000,74.00,10
SPCERAMICS,20260426,100000,21.00,9502
YPL,20260426,100000,19.40,40350
APEXFOOT,20260426,100000,213.80,3329
BDAUTOCA,20260426,100000,245.70,131
CITYGENINS,20260426,100000,103.90,10750
CROWNCEMNT,20260426,100000,50.50,1020
EGEN,20260426,100000,23.80,1800
FAREASTFIN,20260426,100000,2.50,2
ISLAMICFIN,20260426,100000,10.90,31000
STANDBANKL,20260426,100000,5.10,2
AMANFEED,20260426,100000,27.30,15005
INDEXAGRO,20260426,100000,71.90,1
SHEPHERD,20260426,100000,14.30,27
ILFSL,20260426,100000,2.40,100
SIMTEX,20260426,100000,24.80,10000
VFSTDL,20260426,100000,12.50,3300
SAPORTL,20260426,100000,50.80,700
BEXIMCO,20260426,100000,110.10,10
PIONEERINS,20260426,100000,64.90,3000
PRAGATILIF,20260426,100000,194.20,120
RUPALILIFE,20260426,100000,85.00,703
POPULAR1MF,20260426,100000,3.10,1000
PLFSL,20260426,100000,2.70,1589
QUEENSOUTH,20260426,100000,12.10,5020
RUPALIBANK,20260426,100000,19.10,300
ACIFORMULA,20260426,100000,151.00,55
ASIAINS,20260426,100000,40.20,175
ISLAMIINS,20260426,100000,42.00,1000
DHAKAINS,20260426,100000,39.70,30
NPOLYMER,20260426,100000,29.10,200
HAKKANIPUL,20260426,100000,79.20,8710
BEACHHATCH,20260426,100000,30.00,50
SEAPEARL,20260426,100000,36.40,9
ARGONDENIM,20260426,100000,17.30,1
IFIC1STMF,20260426,100000,3.80,5
GENEXIL,20260426,100000,27.30,200
PRIMELIFE,20260426,100000,37.80,1000
MEGHNALIFE,20260426,100000,55.00,1100
OLYMPIC,20260426,100000,146.00,30
RENATA,20260426,100000,420.00,2
SAIHAMTEX,20260426,100000,18.60,1
CAPMIBBLMF,20260426,100000,8.90,1000
IBP,20260426,100000,13.10,5000
DBH1STMF,20260426,100000,4.50,5000
EIL,20260426,100000,28.60,3
CNATEX,20260426,100000,3.60,5000
SONARGAON,20260426,100000,37.60,100
BPML,20260426,100000,27.30,500
BDTHAIFOOD,20260426,100000,18.50,2000
FEDERALINS,20260426,100000,22.00,4000
ASIATICLAB,20260426,100000,106.80,1
CAPMBDBLMF,20260426,100100,12.90,269500
LEGACYFOOT,20260426,100100,83.90,16462
PTL,20260426,100100,63.80,12965
ANWARGALV,20260426,100100,102.80,14994
APEXSPINN,20260426,100100,350.00,650
CITYBANK,20260426,100100,33.30,357603
EASTLAND,20260426,100100,23.20,84400
ETL,20260426,100100,11.50,153500
FUWANGCER,20260426,100100,13.00,2002
ITC,20260426,100100,39.20,10000
KBPPWBIL,20260426,100100,48.90,1501
KPCL,20260426,100100,11.20,1700
MEGHNAINS,20260426,100100,30.40,2000
NAVANAPHAR,20260426,100100,60.90,1
PEOPLESINS,20260426,100100,56.40,85730
PROVATIINS,20260426,100100,36.20,3910
PURABIGEN,20260426,100100,27.90,273000
ROBI,20260426,100100,28.90,3000
SAMORITA,20260426,100100,71.20,9000
SINOBANGLA,20260426,100100,53.80,42242
UNITEDINS,20260426,100100,48.70,5859
WATACHEM,20260426,100100,152.00,6002
1STPRIMFMF,20260426,100100,19.30,299
ACMEPL,20260426,100100,25.20,89000
AGNISYSL,20260426,100100,26.40,23630
BANGAS,20260426,100100,151.80,1200
BNICL,20260426,100100,82.50,1250
BSCPLC,20260426,100100,145.50,1500
CAPITECGBF,20260426,100100,7.40,342753
DOMINAGE,20260426,100100,60.90,227881
DSHGARME,20260426,100100,129.10,1030
EHL,20260426,100100,82.10,7200
EPGL,20260426,100100,15.90,2825
ISNLTD,20260426,100100,78.50,3094
KAY&QUE,20260426,100100,505.00,4013
LOVELLO,20260426,100100,86.10,67256
MHSML,20260426,100100,18.20,10500
MONNOCERA,20260426,100100,87.70,18050
MONOSPOOL,20260426,100100,102.40,800
NAHEEACP,20260426,100100,25.40,22127
RAHIMTEXT,20260426,100100,206.00,300
RUPALIINS,20260426,100100,24.50,2000
SAMATALETH,20260426,100100,107.40,5650
SANDHANINS,20260426,100100,20.80,1534
SONARBAINS,20260426,100100,32.20,23600
TILIL,20260426,100100,47.40,3500
1JANATAMF,20260426,100100,3.10,1
BDCOM,20260426,100100,29.30,5188
DHAKABANK,20260426,100100,12.00,500
IFIC,20260426,100100,5.10,210000
JAMUNABANK,20260426,100100,23.60,35000
PHARMAID,20260426,100100,576.10,333
BDLAMPS,20260426,100100,208.00,2123
BRACBANK,20260426,100100,73.70,2000
HEIDELBCEM,20260426,100100,217.00,1
SUNLIFEINS,20260426,100100,75.00,22594
BBSCABLES,20260426,100100,20.80,2000
DELTASPINN,20260426,100100,6.30,10000
GP,20260426,100100,245.40,18
KDSALTD,20260426,100100,46.70,1176
SOUTHEASTB,20260426,100100,9.60,10052
SILCOPHL,20260426,100100,14.20,4700
SAFKOSPINN,20260426,100100,19.20,2202
LHB,20260426,100100,50.40,5000
MIRAKHTER,20260426,100100,36.20,11500
SPCL,20260426,100100,52.00,900
BATBC,20260426,100100,218.00,5
JHRML,20260426,100100,45.50,26
JMISMDL,20260426,100100,144.00,9480
MEGHNAPET,20260426,100100,40.00,15100
ORIONINFU,20260426,100100,322.30,320
RINGSHINE,20260426,100100,3.80,1380
TAMIJTEX,20260426,100100,129.60,7650
SAIHAMCOT,20260426,100100,22.00,10750
PF1STMF,20260426,100100,6.90,72148
PHENIXINS,20260426,100100,42.50,10000
APEXTANRY,20260426,100100,92.40,19161
DSSL,20260426,100100,9.70,500
GLOBALINS,20260426,100100,33.00,8281
SALVO,20260426,100100,31.90,6000
BBS,20260426,100100,11.90,2000
BENGALWTL,20260426,100100,24.80,2010
BSC,20260426,100100,105.20,100
CENTRALINS,20260426,100100,42.70,4454
GOLDENSON,20260426,100100,14.20,44700
GQBALLPEN,20260426,100100,599.80,87
INTECH,20260426,100100,37.90,4800
ABB1STMF,20260426,100100,3.20,31080
CVOPRL,20260426,100100,164.20,3325
APEXFOODS,20260426,100100,289.00,2541
FAMILYTEX,20260426,100100,3.10,10101
MEGCONMILK,20260426,100100,36.50,4375
SPCERAMICS,20260426,100100,20.90,10500
YPL,20260426,100100,20.00,62434
APEXFOOT,20260426,100100,213.60,4500
BDAUTOCA,20260426,100100,245.60,1357
CITYGENINS,20260426,100100,103.10,2000
EGEN,20260426,100100,24.00,33585
ISLAMICFIN,20260426,100100,11.00,2000
